Item,Purpose,Link,Quantity,Notes
0.1u MLCC,24V Supply Decoupling,,1,
1u MLCC,24V Supply Decoupling,,1,
0.47u Film Cap,24V Supply Decoupling,,1,
470u Electrolytic Cap,24V Supply Decoupling,,1,
P6KE33A TVS Diode,24V Supply Decoupling,,1,
0.1u MLCC,5V Supply Decoupling,,1,
10u MLCC,5V Supply Decoupling,,1,
470u Electrolytic Cap,5V Supply Decoupling,,1,
SMBJ5.0A TVS Diode,5V Supply Decoupling,,1,
"90mΩ, 600Ω@100MHz Ferrite Bead",5V Supply Decoupling,,1,
0.1u MLCC,INA219 Subcircuit,,2,
500m Resistor,INA219 Subcircuit,,1,
50m Resistor,INA219 Subcircuit,,2,
5.6k Resistor,INA219 Subcircuit,,2,